"source","target","key","type","confidence","source_row"
"SPE000001","TOP000108","SPE000046-TOP000108-covers","covers",1.0000001595974757,38
"SPE000001","SPE000049","SPE000049-delivered","delivered",1.0,41
"SPE000001","TOP000111","SPE000049-TOP000111-covers","covers",1.0000001895267947,41
"SPE000001","TOP000112","SPE000049-TOP000112-covers","covers",1.0000001583176577,41
"SPE000001","TOP000113","SPE000049-TOP000113-covers","covers",1.0000001543558403,41
"SPE000001","SPE000050","SPE000050-delivered","delivered",1.0,42
"SPE000001","TOP000114","SPE000050-TOP000114-covers","covers",1.000000189819147,42
"SPE000001","TOP000114","SPE000143-TOP000114-covers","covers",1.000000189819147,138
"SPE000001","TOP000114","SPE000268-TOP000114-covers","covers",1.000000189819147,262
"SPE000001","TOP000115","SPE000050-TOP000115-covers","covers",1.0000001848467073,42
"SPE000001","TOP000116","SPE000050-TOP000116-covers","covers",1.00000018352681,42
"SPE000001","SPE000057","SPE000057-delivered","delivered",1.0,49
"SPE000001","TOP000130","SPE000057-TOP000130-covers","covers",1.0000001646415055,49
"SPE000001","TOP000131","SPE000057-TOP000131-covers","covers",1.0000001643312164,49
"SPE000001","TOP000132","SPE000057-TOP000132-covers","covers",1.0000001526382276,49
"SPE000001","SPE000060","SPE000060-delivered","delivered",1.0,52
"SPE000001","TOP000137","SPE000060-TOP000137-covers","covers",1.000000190979652,52
"SPE000001","TOP000138","SPE000060-TOP000138-covers","covers",1.0000001769894138,52
"SPE000001","TOP000139","SPE000060-TOP000139-covers","covers",1.0000001658375794,52
"SPE000001","SPE000061","SPE000061-delivered","delivered",1.0,53
"SPE000001","TOP000140","SPE000061-TOP000140-covers","covers",1.0000001976096535,53
"SPE000001","TOP000141","SPE000061-TOP000141-covers","covers",1.000000158573962,53
"SPE000001","TOP000142","SPE000061-TOP000142-covers","covers",1.0000001546813855,53
"SPE000001","SPE000070","SPE000070-delivered","delivered",1.0,63
"SPE000001","TOP000028","SPE000070-TOP000028-covers","covers",1.0000001807093486,63
"SPE000001","TOP000028","SPE000138-TOP000028-covers","covers",1.0000001807093486,133
"SPE000001","TOP000028","SPE000174-TOP000028-covers","covers",1.0000001807093486,169
"SPE000001","TOP000028","SPE000209-TOP000028-covers","covers",1.0000001724189955,204
"SPE000001","TOP000028","SPE000231-TOP000028-covers","covers",1.0000001807093486,226
"SPE000001","TOP000028","SPE000285-TOP000028-covers","covers",1.0000001807093486,279
"SPE000001","TOP000028","SPE000295-TOP000028-covers","covers",1.0000001807093486,289
"SPE000001","TOP000028","SPE000296-TOP000028-covers","covers",1.0000001807093486,290
"SPE000001","TOP000028","SPE000389-TOP000028-covers","covers",1.0000001807093486,385
"SPE000001","TOP000028","SPE000459-TOP000028-covers","covers",1.0000001807093486,455
"SPE000001","TOP000028","SPE000471-TOP000028-covers","covers",1.0000001807093486,468
"SPE000001","TOP000028","SPE000541-TOP000028-covers","covers",1.0000001807093486,538
"SPE000001","TOP000028","SPE000593-TOP000028-covers","covers",1.0000001807093486,590
"SPE000001","TOP000028","SPE000594-TOP000028-covers","covers",1.0000001807093486,591
"SPE000001","TOP000110","SPE000070-TOP000110-covers","covers",1.0000001672320726,63
"SPE000001","TOP000110","SPE000449-TOP000110-covers","covers",1.0000001672320726,445
"SPE000001","TOP000165","SPE000070-TOP000165-covers","covers",1.0000001558402116,63
"SPE000001","SPE000075","SPE000075-delivered","delivered",1.0,69
"SPE000001","TOP000176","SPE000075-TOP000176-covers","covers",1.0000001845872912,69
"SPE000001","TOP000177","SPE000075-TOP000177-covers","covers",1.0000001839251869,69
"SPE000001","TOP000177","SPE000284-TOP000177-covers","covers",1.0000001839251869,278
"SPE000001","TOP000178","SPE000075-TOP000178-covers","covers",1.000000165727902,69
"SPE000001","SPE000077","SPE000077-delivered","delivered",1.0,71
"SPE000001","TOP000179","SPE000077-TOP000179-covers","covers",1.0000001758850505,71
"SPE000001","TOP000180","SPE000077-TOP000180-covers","covers",1.0000001547061648,71
"SPE000001","TOP000181","SPE000077-TOP000181-covers","covers",1.0000001541395,71
"SPE000001","SPE000082","SPE000082-delivered","delivered",1.0,76
"SPE000001","TOP000190","SPE000082-TOP000190-covers","covers",1.000000165073746,76
"SPE000001","TOP000191","SPE000082-TOP000191-covers","covers",1.0000001557183045,76
"SPE000001","TOP000192","SPE000082-TOP000192-covers","covers",1.00000014730504,76
"SPE000001","SPE000085","SPE000085-delivered","delivered",1.0,79
"SPE000001","TOP000196","SPE000085-TOP000196-covers","covers",1.0000001639091092,79
"SPE000001","TOP000197","SPE000085-TOP000197-covers","covers",1.0000001502238565,79
"SPE000001","TOP000198","SPE000085-TOP000198-covers","covers",1.000000147134157,79
"SPE000001","SPE000091","SPE000091-delivered","delivered",1.0,85
"SPE000001","TOP000184","SPE000091-TOP000184-covers","covers",1.0000001797553044,85
"SPE000001","TOP000184","SPE000263-TOP000184-covers","covers",1.0000001797553044,257
"SPE000001","TOP000184","SPE000370-TOP000184-covers","covers",1.0000001797553044,366
"SPE000001","TOP000184","SPE000390-TOP000184-covers","covers",1.0000001797553044,386
"SPE000001","TOP000184","SPE000522-TOP000184-covers","covers",1.0000001797553044,520
"SPE000001","TOP000184","SPE000577-TOP000184-covers","covers",1.0000001797553044,574
"SPE000001","TOP000184","SPE000591-TOP000184-covers","covers",1.000000189745903,588
"SPE000001","TOP000117","SPE000091-TOP000117-covers","covers",1.0000001691655902,85
"SPE000001","TOP000117","SPE000401-TOP000117-covers","covers",1.0000001691655902,397
"SPE000001","TOP000117","SPE000541-TOP000117-covers","covers",1.0000001691655902,538
"SPE000001","TOP000117","SPE000552-TOP000117-covers","covers",1.0000001691655902,549
"SPE000001","TOP000210","SPE000091-TOP000210-covers","covers",1.0000001630866935,85
"SPE000001","SPE000093","SPE000093-delivered","delivered",1.0,87
"SPE000001","TOP000214","SPE000093-TOP000214-covers","covers",1.0000001861888002,87
"SPE000001","TOP000214","SPE000376-TOP000214-covers","covers",1.0000001748156002,372
"SPE000001","TOP000215","SPE000093-TOP000215-covers","covers",1.0000001805091727,87
"SPE000001","TOP000215","SPE000248-TOP000215-covers","covers",1.0000001805091727,242
"SPE000001","TOP000215","SPE000428-TOP000215-covers","covers",1.0000001805091727,424
"SPE000001","TOP000215","SPE000440-TOP000215-covers","covers",1.0000001805091727,436
"SPE000001","TOP000216","SPE000093-TOP000216-covers","covers",1.0000001655032233,87
"SPE000001","SPE000099","SPE000099-delivered","delivered",1.0,94
"SPE000001","TOP000221","SPE000099-TOP000221-covers","covers",1.0000001796902551,94
"SPE000001","TOP000222","SPE000099-TOP000222-covers","covers",1.000000176322759,94
"SPE000001","TOP000223","SPE000099-TOP000223-covers","covers",1.0000001752665386,94
"SPE000001","SPE000100","SPE000100-delivered","delivered",1.0,95
"SPE000001","TOP000124","SPE000100-TOP000124-covers","covers",1.0000001682080204,95
"SPE000001","TOP000124","SPE000439-TOP000124-covers","covers",1.0000001682080204,435
"SPE000001","TOP000124","SPE000466-TOP000124-covers","covers",1.0000001682080204,463
"SPE000001","TOP000124","SPE000549-TOP000124-covers","covers",1.0000001682080204,546
"SPE000001","TOP000224","SPE000100-TOP000224-covers","covers",1.0000001592151642,95
"SPE000001","TOP000225","SPE000100-TOP000225-covers","covers",1.0000001576369035,95
"SPE000001","TOP000225","SPE000174-TOP000225-covers","covers",1.0000001576369035,169
"SPE000001","TOP000225","SPE000229-TOP000225-covers","covers",1.0000001576369035,224
"SPE000001","TOP000225","SPE000235-TOP000225-covers","covers",1.0000001576369035,230
"SPE000001","SPE000105","SPE000105-delivered","delivered",1.0,100
"SPE000001","TOP000061","SPE000105-TOP000061-covers","covers",1.0000001733556445,100
"SPE000001","TOP000235","SPE000105-TOP000235-covers","covers",1.0000001472356408,100
"SPE000001","TOP000236","SPE000105-TOP000236-covers","covers",1.0000001457631118,100
"SPE000001","SPE000110","SPE000110-delivered","delivered",1.0,105
"SPE000001","TOP000247","SPE000110-TOP000247-covers","covers",1.0000001758053263,105
"SPE000001","TOP000248","SPE000110-TOP000248-covers","covers",1.0000001739988005,105
"SPE000001","TOP000249","SPE000110-TOP000249-covers","covers",1.0000001679760158,105
"SPE000001","SPE000119","SPE000119-delivered","delivered",1.0,114
"SPE000001","TOP000265","SPE000119-TOP000265-covers","covers",1.000000186750746,114
"SPE000001","TOP000265","SPE000405-TOP000265-covers","covers",1.000000186750746,401
"SPE000001","TOP000266","SPE000119-TOP000266-covers","covers",1.000000166645963,114
"SPE000001","TOP000267","SPE000119-TOP000267-covers","covers",1.000000157599827,114
"SPE000001","TOP000267","SPE000533-TOP000267-covers","covers",1.000000157599827,530
"SPE000001","SPE000121","SPE000121-delivered","delivered",1.0,116
"SPE000001","TOP000182","SPE000121-TOP000182-covers","covers",1.0000001637171325,116
"SPE000001","TOP000269","SPE000121-TOP000269-covers","covers",1.0000001513761694,116
"SPE000001","TOP000270","SPE000121-TOP000270-covers","covers",1.0000001507644345,116
"SPE000001","SPE000126","SPE000126-delivered","delivered",1.0,121
"SPE000001","TOP000219","SPE000126-TOP000219-covers","covers",1.0000001923828532,121
"SPE000001","TOP000280","SPE000126-TOP000280-covers","covers",1.000000191026072,121
"SPE000001","TOP000281","SPE000126-TOP000281-covers","covers",1.0000001670815708,121
"SPE000001","SPE000130","SPE000130-delivered","delivered",1.0,125
"SPE000001","TOP000287","SPE000130-TOP000287-covers","covers",1.0000001837760775,125
"SPE000001","TOP000288","SPE000130-TOP000288-covers","covers",1.0000001582335032,125
"SPE000001","TOP000289","SPE000130-TOP000289-covers","covers",1.0000001562347436,125
"SPE000001","SPE000138","SPE000138-delivered","delivered",1.0,133
"SPE000001","TOP000304","SPE000138-TOP000304-covers","covers",1.0000001821174114,133
"SPE000001","TOP000305","SPE000138-TOP000305-covers","covers",1.0000001594185592,133
"SPE000001","SPE000141","SPE000141-delivered","delivered",1.0,136
"SPE000001","TOP000309","SPE000141-TOP000309-covers","covers",1.0000001715416185,136
"SPE000001","TOP000310","SPE000141-TOP000310-covers","covers",1.0000001659868594,136
"SPE000001","TOP000311","SPE000141-TOP000311-covers","covers",1.0000001548695812,136
"SPE000001","SPE000143","SPE000143-delivered","delivered",1.0,138
"SPE000001","TOP000094","SPE000143-TOP000094-covers","covers",1.0000001579238946,138
"SPE000001","TOP000314","SPE000143-TOP000314-covers","covers",1.0000001534880296,138
"SPE000001","SPE000153","SPE000153-delivered","delivered",1.0,148
"SPE000001","TOP000332","SPE000153-TOP000332-covers","covers",1.0000001733092148,148
"SPE000001","TOP000333","SPE000153-TOP000333-covers","covers",1.000000167046207,148
"SPE000001","TOP000334","SPE000153-TOP000334-covers","covers",1.0000001535283043,148
"SPE000001","SPE000157","SPE000157-delivered","delivered",1.0,152
"SPE000001","TOP000340","SPE000157-TOP000340-covers","covers",1.000000195696311,152
"SPE000001","TOP000341","SPE000157-TOP000341-covers","covers",1.000000171361207,152
"SPE000001","TOP000342","SPE000157-TOP000342-covers","covers",1.0000001633738043,152
"SPE000001","SPE000161","SPE000161-delivered","delivered",1.0,156
"SPE000001","TOP000348","SPE000161-TOP000348-covers","covers",1.0000001770419107,156
"SPE000001","TOP000349","SPE000161-TOP000349-covers","covers",1.0000001752553722,156
"SPE000001","TOP000350","SPE000161-TOP000350-covers","covers",1.0000001668965077,156
"SPE000001","SPE000173","SPE000173-delivered","delivered",1.0,168
"SPE000001","TOP000374","SPE000173-TOP000374-covers","covers",1.0000001838722365,168
"SPE000001","TOP000375","SPE000173-TOP000375-covers","covers",1.0000001570600283,168
"SPE000001","TOP000376","SPE000173-TOP000376-covers","covers",1.0000001561612275,168
"SPE000001","SPE000174","SPE000174-delivered","delivered",1.0,169
"SPE000001","TOP000377","SPE000174-TOP000377-covers","covers",1.0000001757055517,169
"SPE000001","TOP000377","SPE000218-TOP000377-covers","covers",1.0000001757055517,213
"SPE000001","TOP000377","SPE000229-TOP000377-covers","covers",1.0000001757055517,224
"SPE000001","TOP000377","SPE000571-TOP000377-covers","covers",1.0000001691280083,568
"SPE000001","TOP000377","SPE000616-TOP000377-covers","covers",1.0000001691280083,612
"SPE000001","SPE000186","SPE000186-delivered","delivered",1.0,181
"SPE000001","TOP000398","SPE000186-TOP000398-covers","covers",1.0000001598378376,181
"SPE000001","TOP000399","SPE000186-TOP000399-covers","covers",1.0000001483849381,181
"SPE000001","TOP000096","SPE000186-TOP000096-covers","covers",1.0000001371958733,181
"SPE000001","SPE000190","SPE000190-delivered","delivered",1.0,185
"SPE000001","TOP000402","SPE000190-TOP000402-covers","covers",1.0000001718680556,185
"SPE000001","TOP000403","SPE000190-TOP000403-covers","covers",1.0000001644417527,185
"SPE000001","TOP000404","SPE000190-TOP000404-covers","covers",1.0000001606795659,185
"SPE000001","SPE000194","SPE000194-delivered","delivered",1.0,189
"SPE000001","TOP000411","SPE000194-TOP000411-covers","covers",1.0000001503429639,189
"SPE000001","TOP000412","SPE000194-TOP000412-covers","covers",1.0000001494571116,189
"SPE000001","TOP000413","SPE000194-TOP000413-covers","covers",1.0000001450811506,189
"SPE000001","SPE000208","SPE000208-delivered","delivered",1.0,203
"SPE000001","TOP000439","SPE000208-TOP000439-covers","covers",1.0000002111100263,203
"SPE000001","TOP000440","SPE000208-TOP000440-covers","covers",1.0000001809504213,203
"SPE000001","TOP000441","SPE000208-TOP000441-covers","covers",1.0000001676902337,203
"SPE000001","SPE000209","SPE000209-delivered","delivered",1.0,204
"SPE000001","TOP000442","SPE000209-TOP000442-covers","covers",1.0000001672928156,204
"SPE000001","TOP000443","SPE000209-TOP000443-covers","covers",1.0000001666822533,204
"SPE000001","SPE000211","SPE000211-delivered","delivered",1.0,206
"SPE000001","TOP000446","SPE000211-TOP000446-covers","covers",1.0000001739628475,206
"SPE000001","TOP000447","SPE000211-TOP000447-covers","covers",1.0000001527299838,206
"SPE000001","SPE000215","SPE000215-delivered","delivered",1.0,210
"SPE000001","TOP000454","SPE000215-TOP000454-covers","covers",1.0000001827496763,210
"SPE000001","TOP000455","SPE000215-TOP000455-covers","covers",1.0000001648787533,210
"SPE000001","TOP000455","SPE000353-TOP000455-covers","covers",1.0000001648787533,349
"SPE000001","TOP000456","SPE000215-TOP000456-covers","covers",1.0000001643365453,210
"SPE000001","SPE000218","SPE000218-delivered","delivered",1.0,213
"SPE000001","TOP000460","SPE000218-TOP000460-covers","covers",1.0000001720771965,213
"SPE000001","TOP000461","SPE000218-TOP000461-covers","covers",1.0000001609380051,213
"SPE000001","SPE000219","SPE000219-delivered","delivered",1.0,214
"SPE000001","TOP000462","SPE000219-TOP000462-covers","covers",1.0000001748207288,214
"SPE000001","TOP000463","SPE000219-TOP000463-covers","covers",1.000000173923898,214
"SPE000001","TOP000464","SPE000219-TOP000464-covers","covers",1.0000001540600878,214
"SPE000001","SPE000227","SPE000227-delivered","delivered",1.0,222
"SPE000001","TOP000480","SPE000227-TOP000480-covers","covers",1.0000001608803437,222
"SPE000001","TOP000481","SPE000227-TOP000481-covers","covers",1.0000001602849218,222
"SPE000001","TOP000482","SPE000227-TOP000482-covers","covers",1.000000148169571,222
"SPE000001","SPE000229","SPE000229-delivered","delivered",1.0,224
"SPE000001","TOP000486","SPE000229-TOP000486-covers","covers",1.0000001688288813,224
"SPE000001","SPE000231","SPE000231-delivered","delivered",1.0,226
"SPE000001","TOP000007","SPE000231-TOP000007-covers","covers",1.0000001766962021,226
"SPE000001","TOP000488","SPE000231-TOP000488-covers","covers",1.0000001756786747,226
"SPE000001","SPE000233","SPE000233-delivered","delivered",1.0,228
"SPE000001","TOP000491","SPE000233-TOP000491-covers","covers",1.0000001794174362,228
"SPE000001","TOP000492","SPE000233-TOP000492-covers","covers",1.0000001470986604,228
"SPE000001","TOP000493","SPE000233-TOP000493-covers","covers",1.0000001455937164,228
"SPE000001","SPE000235","SPE000235-delivered","delivered",1.0,230
"SPE000001","TOP000497","SPE000235-TOP000497-covers","covers",1.0000001561474168,230
"SPE000001","TOP000498","SPE000235-TOP000498-covers","covers",1.0000001550231987,230
"SPE000001","SPE000238","SPE000238-delivered","delivered",1.0,233
"SPE000001","TOP000503","SPE000238-TOP000503-covers","covers",1.0000001711531112,233
"SPE000001","TOP000504","SPE000238-TOP000504-covers","covers",1.0000001672385017,233
"SPE000001","TOP000505","SPE000238-TOP000505-covers","covers",1.0000001589784147,233
"SPE000001","SPE000244","SPE000244-delivered","delivered",1.0,238
"SPE000001","TOP000514","SPE000244-TOP000514-covers","covers",1.0000001511514387,238
"SPE000001","TOP000515","SPE000244-TOP000515-covers","covers",1.0000001465712294,238
"SPE000001","TOP000516","SPE000244-TOP000516-covers","covers",1.0000001416426427,238
"SPE000001","SPE000248","SPE000248-delivered","delivered",1.0,242
"SPE000001","TOP000297","SPE000248-TOP000297-covers","covers",1.0000001732292874,242
"SPE000001","TOP000297","SPE000318-TOP000297-covers","covers",1.0000001496989572,313
"SPE000001","TOP000297","SPE000342-TOP000297-covers","covers",1.0000001496989572,337
"SPE000001","TOP000297","SPE000384-TOP000297-covers","covers",1.0000001496989572,380
"SPE000001","TOP000522","SPE000248-TOP000522-covers","covers",1.0000001690197369,242
"SPE000001","SPE000250","SPE000250-delivered","delivered",1.0,244
"SPE000001","TOP000526","SPE000250-TOP000526-covers","covers",1.000000204993278,244
"SPE000001","TOP000527","SPE000250-TOP000527-covers","covers",1.00000016801625,244
"SPE000001","TOP000528","SPE000250-TOP000528-covers","covers",1.0000001652554598,244
